Code_sequentiel Taille_A: 630, Taille_B: 394, Taille_M: 1024, Temps: 0.01322, verif:1
Code_sequentiel Taille_A: 640, Taille_B: 384, Taille_M: 1024, Temps: 0.01219, verif:1
Code_sequentiel Taille_A: 650, Taille_B: 374, Taille_M: 1024, Temps: 0.01222, verif:1022
Code_sequentiel Taille_A: 660, Taille_B: 364, Taille_M: 1024, Temps: 0.01155, verif:1022
Code_sequentiel Taille_A: 670, Taille_B: 354, Taille_M: 1024, Temps: 0.01152, verif:1020
Code_sequentiel Taille_A: 680, Taille_B: 344, Taille_M: 1024, Temps: 0.01104, verif:1
Code_sequentiel Taille_A: 690, Taille_B: 334, Taille_M: 1024, Temps: 0.01110, verif:1
Code_sequentiel Taille_A: 700, Taille_B: 324, Taille_M: 1024, Temps: 0.01104, verif:1
Code_sequentiel Taille_A: 710, Taille_B: 314, Taille_M: 1024, Temps: 0.01120, verif:1018
Code_sequentiel Taille_A: 720, Taille_B: 304, Taille_M: 1024, Temps: 0.01078, verif:1021
Code_sequentiel Taille_A: 730, Taille_B: 294, Taille_M: 1024, Temps: 0.01062, verif:1
Code_sequentiel Taille_A: 740, Taille_B: 284, Taille_M: 1024, Temps: 0.01011, verif:1022
Code_sequentiel Taille_A: 750, Taille_B: 274, Taille_M: 1024, Temps: 0.01050, verif:1
Code_sequentiel Taille_A: 760, Taille_B: 264, Taille_M: 1024, Temps: 0.01027, verif:1
Code_sequentiel Taille_A: 770, Taille_B: 254, Taille_M: 1024, Temps: 0.01002, verif:1
Code_sequentiel Taille_A: 780, Taille_B: 244, Taille_M: 1024, Temps: 0.00973, verif:1
Code_sequentiel Taille_A: 790, Taille_B: 234, Taille_M: 1024, Temps: 0.00966, verif:1
Code_sequentiel Taille_A: 800, Taille_B: 224, Taille_M: 1024, Temps: 0.00966, verif:1
Code_sequentiel Taille_A: 810, Taille_B: 214, Taille_M: 1024, Temps: 0.00954, verif:1
Code_sequentiel Taille_A: 820, Taille_B: 204, Taille_M: 1024, Temps: 0.00909, verif:1
Code_sequentiel Taille_A: 830, Taille_B: 194, Taille_M: 1024, Temps: 0.00938, verif:1022
Code_sequentiel Taille_A: 840, Taille_B: 184, Taille_M: 1024, Temps: 0.00973, verif:1
Code_sequentiel Taille_A: 850, Taille_B: 174, Taille_M: 1024, Temps: 0.00938, verif:1
Code_sequentiel Taille_A: 860, Taille_B: 164, Taille_M: 1024, Temps: 0.00880, verif:1022
Code_sequentiel Taille_A: 870, Taille_B: 154, Taille_M: 1024, Temps: 0.00899, verif:1
Code_sequentiel Taille_A: 880, Taille_B: 144, Taille_M: 1024, Temps: 0.00979, verif:1
Code_sequentiel Taille_A: 890, Taille_B: 134, Taille_M: 1024, Temps: 0.00883, verif:1
Code_sequentiel Taille_A: 900, Taille_B: 124, Taille_M: 1024, Temps: 0.00867, verif:1
Code_sequentiel Taille_A: 910, Taille_B: 114, Taille_M: 1024, Temps: 0.00851, verif:1
Code_sequentiel Taille_A: 920, Taille_B: 104, Taille_M: 1024, Temps: 0.00851, verif:1
Code_sequentiel Taille_A: 930, Taille_B: 94, Taille_M: 1024, Temps: 0.00851, verif:1
Code_sequentiel Taille_A: 940, Taille_B: 84, Taille_M: 1024, Temps: 0.00854, verif:1
Code_sequentiel Taille_A: 950, Taille_B: 74, Taille_M: 1024, Temps: 0.00822, verif:1
Code_sequentiel Taille_A: 960, Taille_B: 64, Taille_M: 1024, Temps: 0.00787, verif:1
Code_sequentiel Taille_A: 970, Taille_B: 54, Taille_M: 1024, Temps: 0.00880, verif:1
Code_sequentiel Taille_A: 980, Taille_B: 44, Taille_M: 1024, Temps: 0.00797, verif:1
Code_sequentiel Taille_A: 990, Taille_B: 34, Taille_M: 1024, Temps: 0.00765, verif:1
Code_sequentiel Taille_A: 1000, Taille_B: 24, Taille_M: 1024, Temps: 0.00726, verif:1
Code_sequentiel Taille_A: 1010, Taille_B: 14, Taille_M: 1024, Temps: 0.00742, verif:1
Code_sequentiel Taille_A: 1020, Taille_B: 4, Taille_M: 1024, Temps: 0.00707, verif:1
