mergeBatches Taille_M: 126976, nbthreads: 1024, numblocks: 65535, Temps: 106.73289, verif: -1
mergeBatches Taille_M: 129024, nbthreads: 1024, numblocks: 65535, Temps: 109.99296, verif: -1
mergeBatches Taille_M: 131072, nbthreads: 1024, numblocks: 65535, Temps: 111.21571, verif: -1
mergeBatches Taille_M: 133120, nbthreads: 1024, numblocks: 65535, Temps: 117.93274, verif: -1
mergeBatches Taille_M: 135168, nbthreads: 1024, numblocks: 65535, Temps: 121.08212, verif: -1
mergeBatches Taille_M: 137216, nbthreads: 1024, numblocks: 65535, Temps: 125.48176, verif: -1
mergeBatches Taille_M: 139264, nbthreads: 1024, numblocks: 65535, Temps: 123.68029, verif: -1
mergeBatches Taille_M: 141312, nbthreads: 1024, numblocks: 65535, Temps: 120.92541, verif: -1
mergeBatches Taille_M: 143360, nbthreads: 1024, numblocks: 65535, Temps: 124.80768, verif: -1
mergeBatches Taille_M: 145408, nbthreads: 1024, numblocks: 65535, Temps: 126.51984, verif: -1
mergeBatches Taille_M: 147456, nbthreads: 1024, numblocks: 65535, Temps: 127.45043, verif: -1
mergeBatches Taille_M: 149504, nbthreads: 1024, numblocks: 65535, Temps: 129.60080, verif: -1
mergeBatches Taille_M: 151552, nbthreads: 1024, numblocks: 65535, Temps: 139.19994, verif: -1
mergeBatches Taille_M: 153600, nbthreads: 1024, numblocks: 65535, Temps: 138.51514, verif: -1
mergeBatches Taille_M: 155648, nbthreads: 1024, numblocks: 65535, Temps: 139.35849, verif: -1
mergeBatches Taille_M: 157696, nbthreads: 1024, numblocks: 65535, Temps: 131.47475, verif: -1
mergeBatches Taille_M: 159744, nbthreads: 1024, numblocks: 65535, Temps: 132.71706, verif: -1
mergeBatches Taille_M: 161792, nbthreads: 1024, numblocks: 65535, Temps: 133.84515, verif: -1
mergeBatches Taille_M: 163840, nbthreads: 1024, numblocks: 65535, Temps: 140.25629, verif: -1
mergeBatches Taille_M: 165888, nbthreads: 1024, numblocks: 65535, Temps: 153.41443, verif: -1
mergeBatches Taille_M: 167936, nbthreads: 1024, numblocks: 65535, Temps: 152.95050, verif: -1
mergeBatches Taille_M: 169984, nbthreads: 1024, numblocks: 65535, Temps: 149.79414, verif: -1
mergeBatches Taille_M: 172032, nbthreads: 1024, numblocks: 65535, Temps: 155.13824, verif: -1
mergeBatches Taille_M: 174080, nbthreads: 1024, numblocks: 65535, Temps: 147.32999, verif: -1
mergeBatches Taille_M: 176128, nbthreads: 1024, numblocks: 65535, Temps: 157.89059, verif: -1
mergeBatches Taille_M: 178176, nbthreads: 1024, numblocks: 65535, Temps: 152.77936, verif: -1
mergeBatches Taille_M: 180224, nbthreads: 1024, numblocks: 65535, Temps: 152.84697, verif: -1
mergeBatches Taille_M: 182272, nbthreads: 1024, numblocks: 65535, Temps: 160.81940, verif: -1
mergeBatches Taille_M: 184320, nbthreads: 1024, numblocks: 65535, Temps: 169.74707, verif: -1
mergeBatches Taille_M: 186368, nbthreads: 1024, numblocks: 65535, Temps: 162.74660, verif: -1
mergeBatches Taille_M: 188416, nbthreads: 1024, numblocks: 65535, Temps: 160.94321, verif: -1
mergeBatches Taille_M: 262144, nbthreads: 1024, numblocks: 65535, Temps: 225.29050, verif: -1
