mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 524, Temps: 0.04115, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 534, Temps: 0.03962, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 544, Temps: 0.06554, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 554, Temps: 0.04474, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 564, Temps: 0.04045, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 574, Temps: 0.04006, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 584, Temps: 0.04058, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 594, Temps: 0.06534, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 604, Temps: 0.04422, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 614, Temps: 0.03994, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 624, Temps: 0.06470, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 634, Temps: 0.03907, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 644, Temps: 0.04470, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 654, Temps: 0.04090, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 664, Temps: 0.06355, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 674, Temps: 0.04006, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 684, Temps: 0.06563, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 694, Temps: 0.04458, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 704, Temps: 0.03981, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 714, Temps: 0.04112, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 724, Temps: 0.03962, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 734, Temps: 0.03955, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 744, Temps: 0.05571, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 754, Temps: 0.04026, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 764, Temps: 0.03997, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 774, Temps: 0.04010, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 784, Temps: 0.03978, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 794, Temps: 0.03962, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 804, Temps: 0.06528, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 814, Temps: 0.03853, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 824, Temps: 0.03821, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 834, Temps: 0.03974, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 844, Temps: 0.03891, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 854, Temps: 0.03891, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 864, Temps: 0.06448, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 874, Temps: 0.03808, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 884, Temps: 0.04029, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 894, Temps: 0.03907, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 904, Temps: 0.03766, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 914, Temps: 0.06320, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 924, Temps: 0.04077, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 934, Temps: 0.03888, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 944, Temps: 0.03814, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 954, Temps: 0.03606, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 964, Temps: 0.04320, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 974, Temps: 0.03734, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 984, Temps: 0.03651, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 994, Temps: 0.03658, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 1004, Temps: 0.03690, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 1014, Temps: 0.03587, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 1024, Temps: 0.03517, verif: -1
