sort_stream Taille_M: 650, nbthreads: 1024, numblocks: 65535, Temps: 392.28265, verif: -1
sort_stream Taille_M: 660, nbthreads: 1024, numblocks: 65535, Temps: 391.79166, verif: -1
sort_stream Taille_M: 670, nbthreads: 1024, numblocks: 65535, Temps: 402.82413, verif: -1
sort_stream Taille_M: 680, nbthreads: 1024, numblocks: 65535, Temps: 404.05072, verif: -1
sort_stream Taille_M: 690, nbthreads: 1024, numblocks: 65535, Temps: 410.13635, verif: -1
sort_stream Taille_M: 700, nbthreads: 1024, numblocks: 65535, Temps: 408.03622, verif: -1
sort_stream Taille_M: 710, nbthreads: 1024, numblocks: 65535, Temps: 422.17508, verif: -1
sort_stream Taille_M: 720, nbthreads: 1024, numblocks: 65535, Temps: 413.29752, verif: -1
sort_stream Taille_M: 730, nbthreads: 1024, numblocks: 65535, Temps: 405.80414, verif: -1
sort_stream Taille_M: 740, nbthreads: 1024, numblocks: 65535, Temps: 420.40610, verif: -1
sort_stream Taille_M: 750, nbthreads: 1024, numblocks: 65535, Temps: 431.36377, verif: -1
sort_stream Taille_M: 760, nbthreads: 1024, numblocks: 65535, Temps: 432.08310, verif: -1
sort_stream Taille_M: 770, nbthreads: 1024, numblocks: 65535, Temps: 441.81613, verif: -1
sort_stream Taille_M: 780, nbthreads: 1024, numblocks: 65535, Temps: 452.32504, verif: -1
sort_stream Taille_M: 790, nbthreads: 1024, numblocks: 65535, Temps: 453.68686, verif: -1
sort_stream Taille_M: 800, nbthreads: 1024, numblocks: 65535, Temps: 453.92416, verif: -1
sort_stream Taille_M: 810, nbthreads: 1024, numblocks: 65535, Temps: 456.66495, verif: -1
sort_stream Taille_M: 820, nbthreads: 1024, numblocks: 65535, Temps: 450.05438, verif: -1
sort_stream Taille_M: 830, nbthreads: 1024, numblocks: 65535, Temps: 457.74255, verif: -1
sort_stream Taille_M: 840, nbthreads: 1024, numblocks: 65535, Temps: 472.13034, verif: -1
sort_stream Taille_M: 850, nbthreads: 1024, numblocks: 65535, Temps: 478.08734, verif: -1
sort_stream Taille_M: 860, nbthreads: 1024, numblocks: 65535, Temps: 470.87640, verif: -1
sort_stream Taille_M: 870, nbthreads: 1024, numblocks: 65535, Temps: 476.14441, verif: -1
sort_stream Taille_M: 880, nbthreads: 1024, numblocks: 65535, Temps: 468.17142, verif: -1
sort_stream Taille_M: 890, nbthreads: 1024, numblocks: 65535, Temps: 480.21469, verif: -1
sort_stream Taille_M: 900, nbthreads: 1024, numblocks: 65535, Temps: 487.75934, verif: -1
sort_stream Taille_M: 910, nbthreads: 1024, numblocks: 65535, Temps: 489.05206, verif: -1
sort_stream Taille_M: 920, nbthreads: 1024, numblocks: 65535, Temps: 490.05453, verif: -1
sort_stream Taille_M: 930, nbthreads: 1024, numblocks: 65535, Temps: 502.85922, verif: -1
sort_stream Taille_M: 940, nbthreads: 1024, numblocks: 65535, Temps: 596.24469, verif: -1
sort_stream Taille_M: 950, nbthreads: 1024, numblocks: 65535, Temps: 505.03931, verif: -1
sort_stream Taille_M: 960, nbthreads: 1024, numblocks: 65535, Temps: 500.04788, verif: -1
sort_stream Taille_M: 970, nbthreads: 1024, numblocks: 65535, Temps: 513.19019, verif: -1
sort_stream Taille_M: 980, nbthreads: 1024, numblocks: 65535, Temps: 513.34949, verif: -1
sort_stream Taille_M: 990, nbthreads: 1024, numblocks: 65535, Temps: 507.29068, verif: -1
sort_stream Taille_M: 1000, nbthreads: 1024, numblocks: 65535, Temps: 511.98126, verif: -1
sort_stream Taille_M: 1010, nbthreads: 1024, numblocks: 65535, Temps: 519.92352, verif: -1
sort_stream Taille_M: 1020, nbthreads: 1024, numblocks: 65535, Temps: 542.94263, verif: -1
sort_stream Taille_M: 1030, nbthreads: 1024, numblocks: 65535, Temps: 536.71124, verif: -1
sort_stream Taille_M: 1040, nbthreads: 1024, numblocks: 65535, Temps: 537.46106, verif: -1
sort_stream Taille_M: 1050, nbthreads: 1024, numblocks: 65535, Temps: 543.10620, verif: -1
sort_stream Taille_M: 1060, nbthreads: 1024, numblocks: 65535, Temps: 641.93927, verif: -1
sort_stream Taille_M: 1070, nbthreads: 1024, numblocks: 65535, Temps: 655.67749, verif: -1
sort_stream Taille_M: 1080, nbthreads: 1024, numblocks: 65535, Temps: 555.92462, verif: -1
sort_stream Taille_M: 1090, nbthreads: 1024, numblocks: 65535, Temps: 558.20667, verif: -1
sort_stream Taille_M: 1100, nbthreads: 1024, numblocks: 65535, Temps: 562.09320, verif: -1
sort_stream Taille_M: 1110, nbthreads: 1024, numblocks: 65535, Temps: 565.43866, verif: -1
sort_stream Taille_M: 1120, nbthreads: 1024, numblocks: 65535, Temps: 572.76294, verif: -1
sort_stream Taille_M: 1130, nbthreads: 1024, numblocks: 65535, Temps: 576.39270, verif: -1
sort_stream Taille_M: 1140, nbthreads: 1024, numblocks: 65535, Temps: 587.55701, verif: -1
sort_stream Taille_M: 1150, nbthreads: 1024, numblocks: 65535, Temps: 589.62811, verif: -1
sort_stream Taille_M: 1160, nbthreads: 1024, numblocks: 65535, Temps: 583.26538, verif: -1
sort_stream Taille_M: 1170, nbthreads: 1024, numblocks: 65535, Temps: 588.54547, verif: -1
sort_stream Taille_M: 1180, nbthreads: 1024, numblocks: 65535, Temps: 587.67303, verif: -1
sort_stream Taille_M: 1190, nbthreads: 1024, numblocks: 65535, Temps: 588.21136, verif: -1
sort_stream Taille_M: 1200, nbthreads: 1024, numblocks: 65535, Temps: 598.55804, verif: -1
sort_stream Taille_M: 1210, nbthreads: 1024, numblocks: 65535, Temps: 602.66956, verif: -1
sort_stream Taille_M: 1220, nbthreads: 1024, numblocks: 65535, Temps: 605.61963, verif: -1
sort_stream Taille_M: 1230, nbthreads: 1024, numblocks: 65535, Temps: 615.61548, verif: -1
sort_stream Taille_M: 1240, nbthreads: 1024, numblocks: 65535, Temps: 611.20734, verif: -1
